Action ID,Priority,Category,Action Description,Notes_Comments,Assigned To,Organization,Status,Due Date,Dependencies,Related Decision IDs,Cost Impact,Timeline Impact
33-004,4-Medium,Utilities (Div 33),Complete water and wastewater availability study,"Confirm municipal water service availability (500-1,000 gal/day domestic use only - zero water cooling strategy) and sanitary sewer capacity. If municipal unavailable, evaluate on-site well/septic system design per Oklahoma DEQ requirements. If not closed-loop cooling: $5K-$15K study cost.",TBD,TBD,Not Started,TBD,23-002,M4,"$50-200K connection fees (municipal) or $100-300K (on-site well/septic), plus $5K-$15K study",Potential for expensive utility extensions if municipal unavailable
33-007,3-High,Utilities (Div 33),Determine preferred POI configuration (single BTM vs dual),"Based on utility interconnection study results (33-001), confirm whether single behind-the-meter POI (solar + DC) or dual POI configuration is preferred. Single POI maximizes solar utilization but may require additional utility upgrades. Critical for solar monetization strategy (Options A vs B).",Saga,Saga,Not Started,11/15/25,33-001,D3,Affects solar self-consumption optimization and utility upgrade costs,
33-008,4-Medium,Utilities (Div 33),Confirm diesel fuel storage strategy (if diesel generators selected),"Finalize diesel fuel storage approach: sub-base belly tanks vs centralized above-ground storage tank (AST). Confirm 48-hour minimum runtime capacity and EPA SPCC plan requirements (if >1,320 gallons total). Coordinate with final generator configuration (48-001).",PGCIS,PGCIS,Not Started,11/8/25,48-001,D2,$200-400K fuel storage CAPEX + EPA SPCC compliance,
26-001,3-High,Electrical (Div 26),Confirm UPS equipment specifications and pricing,"Select traditional 2N modular UPS equipment specifications for Phase 1 deployment (6MW N+1, $4.5M). Lock pricing for future phase expansions (ultimate 28MW, $26.3M total phased). Confirm modular frame sizing and spare parts compatibility. This is for design and cost estimating, not vendor selection/procurement. Can likely use existing Schneider estimates, but should confirm.",PGCIS,PGCIS,Not Started,11/30/25,None,D1,$4.5M Phase 1 CAPEX (Class 3 estimate +/- 15-20%),
48-002,3-High,Power Generation (Div 48),Confirm final generator configuration (turbine + diesel mix),"Based on natural gas service confirmation (33-002) and turbine lead time research (99-002), finalize generator count and fuel mix. Current plan: 4-5 generators total (natural gas turbine + diesel recip mix, N+1 redundancy). Consider customer preference for fuel diversity. Phase 1: 2× generators (N+1) for $2.4M, ultimate: 8× generators for $10.8M total phased.",PGCIS,PGCIS,Not Started,11/8/25,33-002 99-002,D2 E5,"$2.4M Phase 1 CAPEX, ±$500K-$1M based on turbine vs diesel mix",
26-002,4-Medium,Electrical (Div 26),Confirm electrical room configuration (indoor vs outdoor),"BOD shows reversion to traditional indoor electrical rooms (6,000 SF total, 2× 3,000 SF) to house 2N UPS systems. October architectural meeting discussed outdoor containerized enclosures. Confirm final approach and resolve discrepancy. Traditional UPS requires indoor housing with fire suppression and cooling (outdoor only viable with BESS-as-UPS, which is rejected).",PGCIS,PGCIS,Not Started,11/30/25,26-001,D1,"$2-3M for indoor electrical rooms (fire suppression, cooling)",Building footprint impact
23-005,4-Medium,Mechanical (Div 23),Validate CDU sizing for liquid-cooled AI racks,"Confirm 9× MCDU-50 equivalent units (or similar) are adequate for 48 AI racks (up to 132 kW/rack liquid-cooled). Validate chilled water manifold distribution and leak detection strategy. Direct-to-chip vs rear-door liquid coil options for customers.",PGCIS,PGCIS,Not Started,11/8/25,23-004 23-003,M3 O1,$500K-1M CDU CAPEX,
23-006,4-Medium,Mechanical (Div 23),Confirm rooftop AHU configuration for data hall humidity control,"Validate rooftop AHU sizing for 40,000 SF data hall (Phase 1: 20,000 SF fitted, Phase 2: 20,000 SF shell). Confirm N+1 redundancy and integration with RDHx/CDU cooling strategy. AHUs handle humidity control + building over-pressurization, not IT heat rejection. Deviation from RD109 baseline (adds comfort cooling not in original scope).",PGCIS,PGCIS,Not Started,11/30/25,23-001,M4,$300-500K CAPEX,
02-001,3-High,Building & Site (Divs 02-14),Confirm building test fit on site and equipment yard locations,"Test fit building configuration on the 121-acre site to determine optimal orientation. Once building is placed, determine which side is appropriate for generator yard and which side for chiller yard (north/south/east/west). Consider factors: property lines, access roads, future expansion areas, sound attenuation, prevailing winds. Replaces assumption of north side for generators - need to validate building placement first.",Julia,Architect,Not Started,11/15/25,48-002 23-001,S1,Site layout and sound attenuation requirements ($200-400K),Equipment access and future phase expansion planning
00-003,3-High,General Requirements (Div 00),Update total project CAPEX range (Phase 1 and Ultimate),"Review cost tables at the end of each BOD division page. Consolidate all BOD updates into revised total project cost estimate. Provide Phase 1 CAPEX (initial 12 MW deployment) and ultimate CAPEX (20-24 MW with all phases). Update financial model with revised assumptions: traditional UPS phasing ($4.5M Phase 1 vs $26.3M total), chiller expansion (~16 chillers, $8-12M phased), BESS elimination savings, raised floor elimination ($900K-$1.25M savings), etc. Accuracy: Class 3 (+/- 15-20%).",PGCIS,PGCIS,Not Started,11/30/25,"26-001, 48-002, 23-001, 02-001",F1,Phase 1 and ultimate CAPEX baseline for financial model and investor materials,IRR calculations and lender presentations
01-001,3-High,General Requirements (Div 01),Finalize BOD documents for MEP engineering handoff,"Complete all BOD pages with final design decisions incorporated. Resolve all ""{TBC}"" placeholders in BOD documents. Update outstanding decisions log (currently: building configuration 1-story vs 2-story, final generator count, UPS equipment specifications, substation sizing). Prepare handoff package to MEP engineering consultant for detailed design phase.",PGCIS,PGCIS,Not Started,11/30/25,"33-001, 26-001, 48-002, 23-001, 02-001",All,Enables MEP detailed design to begin,Project schedule progression to detailed design phase
