Name,Action Description,Assigned To,Category,Cost Impact,Dependencies,Due Date,Notes_Comments,Organization,Priority,Related Decision IDs,Status,Timeline Impact
99-005,Saga financial consultant to model both power pricing strategies,David,Financial,,A-055 A-057,"November 22, 2025",All-in vs pass-through comparison,Saga,3-High,D3 F1,Not Started,
33-005,Research demand response programs and incentive structure,Benton,Utilities (Div 33),,None,"October 20, 2025",Determine if facility qualifies; assess revenue opportunity and design implications,Saga,3-High,D1 U3,Review-Send,
02-002,Validate slab-on-grade can support equipment loads,Benton,Building & Site (Divs 02-14),,A-018,"November 8, 2025",After geotechnical review,PGCIS,4-Medium,S1 D4,In Progress,
02-003,PGCIS to review geotech analysis for design implications,Benton,Building & Site (Divs 02-14),,None,"October 18, 2025",tbd,PGCIS,4-Medium,V6 S1,Not Started,
02-004,Provide FM I-135 tornado standard details and specifications for roof,Erik,Building & Site (Divs 02-14),,None,"October 18, 2025",For insurance rate reduction analysis,PGCIS,4-Medium,E9 S7,Complete,
02-005,Consider designing a tornado shelter specifications (location size access),Benton,Building & Site (Divs 02-14),TBD,A-012 A-029,"November 8, 2025","For 24/7 operations staff safety - include in insurance cost study as needed.

Recommended hardened interiro room, such as the locker room that can double as tornado shelter.",PGCIS,4-Medium,E9,Review-Send,
02-006,Evaluate roof type upgrade for wind/missile resistance,Benton,Building & Site (Divs 02-14),TBD,A-012 A-029,"November 8, 2025",FM I-135 compliance,PGCIS,4-Medium,E9,Complete,
02-007,Document building envelope storm mitigation features For insurance advisor review,Benton,Building & Site (Divs 02-14),,None,"October 18, 2025",na,PGCIS,4-Medium,E9,Complete,
A-029,Compare FM I-135 to ASCE wind map requirements for Tulsa region,Benton,Building & Site,,A-012,"October 25, 2025",Determine appropriate wind resistance standard,PGCIS,4-Medium,E9,Complete,
23-004,"Provide CapEx difference analysis: RDHx vs fan walls

Also update architecture about fan wall sizing, as this will free up lots of SQ FT in the DC.",Benton,Mechanical (Div 23),TBD,None,"October 18, 2025","Cost delta for cooling strategy change
",PGCIS,4-Medium,O1 M3,In Progress,
33-006,Validate substation transformer capacity from financial consultant baseline,David,Utilities (Div 33),,None,"October 25, 2025",Verify 12-15 MVA sizing is adequate - Official Transformer sizing shall be 20/16/12 MVA ONAN/ONAF1/ONAF2              138kV-34.5kV 13.2kv TERT.,Saga,4-Medium,U1,Complete,
99-006,Get Generac lead time quotes for diesel generators (4× 3750 kVA),David,Procurement,,None,"October 25, 2025",Compare to turbine lead times. Including in work with Constructiv,Saga,4-Medium,D2 P2,Not Started,$0.5M-$1M slip cost; 6-9 months if delayed
99-007,Clarify OCP compliance specification rationale from fin. Consultant,David,Procurement,,Design Phase,,Why did they put this in?,Saga,4-Medium,E3,Not Started,
02-003,Put geotechnical desktop analysis in Dropbox for PGCIS,David,Building & Site (Divs 02-14),,None,"October 18, 2025",PGCIS to review for design implications,Saga,4-Medium,V6 S1,Complete,
33-004,Conduct formal water/wastewater capacity study,TBD,Utilities (Div 33),$5K-$15K study + potential extension costs,A-035,,If not closed-loop: $5K-$15K study,TBD,4-Medium,M4,Not Started,Potential for expensive utility extensions
,,,,,,,,PGCIS,,,,
,,,,,,,,,,,Not Started,
,,,,,,,,,,,Review-Send,
,,,,,,,,,,,Review-Send,
33-007,Determine preferred POI configuration (single BTM vs dual),Saga,Utilities (Div 33),Affects solar self-consumption optimization and utility upgrade costs,33-001,"November 15, 2025","Based on utility interconnection study results (33-001), confirm whether single behind-the-meter POI (solar + DC) or dual POI configuration is preferred. Single POI maximizes solar utilization but may require additional utility upgrades. Critical for solar monetization strategy (Options A vs B).",Saga,3-High,D3,Not Started,
33-008,Confirm diesel fuel storage strategy (if diesel generators selected),PGCIS,Utilities (Div 33),$200-400K fuel storage CAPEX + EPA SPCC compliance,48-001,"November 8, 2025","Finalize diesel fuel storage approach: sub-base belly tanks vs centralized above-ground storage tank (AST). Confirm 48-hour minimum runtime capacity and EPA SPCC plan requirements (if >1,320 gallons total). Coordinate with final generator configuration (48-001).",PGCIS,4-Medium,D2,Not Started,
26-001,Confirm UPS equipment specifications and pricing,PGCIS,Electrical (Div 26),$4.5M Phase 1 CAPEX (Class 3 estimate +/- 15-20%),None,"November 30, 2025","Select traditional 2N modular UPS equipment specifications for Phase 1 deployment (6MW N+1, $4.5M). Lock pricing for future phase expansions (ultimate 28MW, $26.3M total phased). Confirm modular frame sizing and spare parts compatibility. This is for design and cost estimating, not vendor selection/procurement. Can likely use existing Schneider estimates, but should confirm.",PGCIS,3-High,D1,Not Started,
48-002,Confirm final generator configuration (turbine + diesel mix),PGCIS,Power Generation (Div 48),"$2.4M Phase 1 CAPEX, ±$500K-$1M based on turbine vs diesel mix","33-002, 99-002","November 8, 2025","Based on natural gas service confirmation (33-002) and turbine lead time research (99-002), finalize generator count and fuel mix. Current plan: 4-5 generators total (natural gas turbine + diesel recip mix, N+1 redundancy). Consider customer preference for fuel diversity. Phase 1: 2× generators (N+1) for $2.4M, ultimate: 8× generators for $10.8M total phased.",PGCIS,3-High,D2 E5,Not Started,
26-002,Confirm electrical room configuration (indoor vs outdoor),PGCIS,Electrical (Div 26),"$2-3M for indoor electrical rooms (fire suppression, cooling)",26-001,"November 30, 2025","BOD shows reversion to traditional indoor electrical rooms (6,000 SF total, 2× 3,000 SF) to house 2N UPS systems. October architectural meeting discussed outdoor containerized enclosures. Confirm final approach and resolve discrepancy. Traditional UPS requires indoor housing with fire suppression and cooling (outdoor only viable with BESS-as-UPS, which is rejected).",PGCIS,4-Medium,D1,Not Started,Building footprint impact
23-005,Validate CDU sizing for liquid-cooled AI racks,PGCIS,Mechanical (Div 23),$500K-1M CDU CAPEX,"23-004, 23-003","November 8, 2025",Confirm 9× MCDU-50 equivalent units (or similar) are adequate for 48 AI racks (up to 132 kW/rack liquid-cooled). Validate chilled water manifold distribution and leak detection strategy. Direct-to-chip vs rear-door liquid coil options for customers.,PGCIS,4-Medium,M3 O1,Not Started,
23-006,Confirm rooftop AHU configuration for data hall humidity control,PGCIS,Mechanical (Div 23),$300-500K CAPEX,23-001,"November 30, 2025","Validate rooftop AHU sizing for 40,000 SF data hall (Phase 1: 20,000 SF fitted, Phase 2: 20,000 SF shell). Confirm N+1 redundancy and integration with RDHx/CDU cooling strategy. AHUs handle humidity control + building over-pressurization, not IT heat rejection. Deviation from RD109 baseline (adds comfort cooling not in original scope).",PGCIS,4-Medium,M4,Not Started,
02-001,Confirm building test fit on site and equipment yard locations,Julia,Building & Site (Divs 02-14),Site layout and sound attenuation requirements ($200-400K),"48-002, 23-001","November 15, 2025","Test fit building configuration on the 121-acre site to determine optimal orientation. Once building is placed, determine which side is appropriate for generator yard and which side for chiller yard (north/south/east/west). Consider factors: property lines, access roads, future expansion areas, sound attenuation, prevailing winds. Replaces assumption of north side for generators - need to validate building placement first.",Architect,3-High,S1,Not Started,Equipment access and future phase expansion planning
00-003,Update total project CAPEX range (Phase 1 and Ultimate),PGCIS,General Requirements (Div 00),Phase 1 and ultimate CAPEX baseline for financial model and investor materials,"26-001, 48-002, 23-001, 02-001","November 30, 2025","Review cost tables at the end of each BOD division page. Consolidate all BOD updates into revised total project cost estimate. Provide Phase 1 CAPEX (initial 12 MW deployment) and ultimate CAPEX (20-24 MW with all phases). Update financial model with revised assumptions: traditional UPS phasing ($4.5M Phase 1 vs $26.3M total), chiller expansion (~16 chillers, $8-12M phased), BESS elimination savings, raised floor elimination ($900K-$1.25M savings), etc. Accuracy: Class 3 (+/- 15-20%).",PGCIS,3-High,F1,Not Started,IRR calculations and lender presentations
01-001,Finalize BOD documents for MEP engineering handoff,PGCIS,General Requirements (Div 01),Enables MEP detailed design to begin,"33-001, 26-001, 48-002, 23-001, 02-001","November 30, 2025","Complete all BOD pages with final design decisions incorporated. Resolve all ""{TBC}"" placeholders in BOD documents. Update outstanding decisions log (currently: building configuration 1-story vs 2-story, final generator count, UPS equipment specifications, substation sizing). Prepare handoff package to MEP engineering consultant for detailed design phase.",PGCIS,3-High,All,Not Started,Project schedule progression to detailed design phase
